PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25656970","Version 4.0 of PaxDb: Protein abundance data, integrated across model organisms, tissues, and cell-lines","Wang M, Herrmann CJ, Simonovic M, Szklarczyk D, von Mering C.","Proteomics. 2015 Sep;15(18):3163-8. doi: 10.1002/pmic.201400441. Epub 2015 Mar 12.","Wang M","Proteomics","2015","2015/02/07","PMC6680238","","10.1002/pmic.201400441"
"36368412","Intrinsically Unstructured Sequences in the mRNA 3' UTR Reduce the Ability of Poly(A) Tail to Enhance Translation","Lai WC, Zhu M, Belinite M, Ballard G, Mathews DH, Ermolenko DN.","J Mol Biol. 2022 Dec 30;434(24):167877. doi: 10.1016/j.jmb.2022.167877. Epub 2022 Nov 8.","Lai WC","J Mol Biol","2022","2022/11/11","PMC9750134","NIHMS1850780","10.1016/j.jmb.2022.167877"
"27440402","ER arrival sites for COPI vesicles localize to hotspots of membrane trafficking","Schröter S, Beckmann S, Schmitt HD.","EMBO J. 2016 Sep 1;35(17):1935-55. doi: 10.15252/embj.201592873. Epub 2016 Jul 20.","Schröter S","EMBO J","2016","2016/07/22","PMC5007555","","10.15252/embj.201592873"
"27629639","Proteome complexity and the forces that drive proteome imbalance","Harper JW, Bennett EJ.","Nature. 2016 Sep 15;537(7620):328-38. doi: 10.1038/nature19947.","Harper JW","Nature","2016","2016/09/16","PMC5204264","NIHMS839898","10.1038/nature19947"
"33753504","The number of catalytic cycles in an enzyme's lifetime and why it matters to metabolic engineering","Hanson AD, McCarty DR, Henry CS, Xian X, Joshi J, Patterson JA, García-García JD, Fleischmann SD, Tivendale ND, Millar AH.","Proc Natl Acad Sci U S A. 2021 Mar 30;118(13):e2023348118. doi: 10.1073/pnas.2023348118.","Hanson AD","Proc Natl Acad Sci U S A","2021","2021/03/23","PMC8020674","","10.1073/pnas.2023348118"
"33809541","Integration of Data from Liquid-Liquid Phase Separation Databases Highlights Concentration and Dosage Sensitivity of LLPS Drivers","Farahi N, Lazar T, Wodak SJ, Tompa P, Pancsa R.","Int J Mol Sci. 2021 Mar 16;22(6):3017. doi: 10.3390/ijms22063017.","Farahi N","Int J Mol Sci","2021","2021/04/03","PMC8002189","","10.3390/ijms22063017"
"38228169","Formation of amyloid fibrils by the regulatory 14-3-3ζ protein","Šulskis D, Žiaunys M, Sakalauskas A, Sniečkutė R, Smirnovas V.","Open Biol. 2024 Jan;14(1):230285. doi: 10.1098/rsob.230285. Epub 2024 Jan 17.","Šulskis D","Open Biol","2024","2024/01/16","PMC10791532","","10.1098/rsob.230285"
"27605518","Depletion of Shine-Dalgarno Sequences Within Bacterial Coding Regions Is Expression Dependent","Yang C, Hockenberry AJ, Jewett MC, Amaral LAN.","G3 (Bethesda). 2016 Nov 8;6(11):3467-3474. doi: 10.1534/g3.116.032227.","Yang C","G3 (Bethesda)","2016","2016/09/09","PMC5100845","","10.1534/g3.116.032227"
"31404336","Structural Basis of the Subcellular Topology Landscape of Escherichia coli","Loos MS, Ramakrishnan R, Vranken W, Tsirigotaki A, Tsare EP, Zorzini V, Geyter J, Yuan B, Tsamardinos I, Klappa M, Schymkowitz J, Rousseau F, Karamanou S, Economou A.","Front Microbiol. 2019 Jul 24;10:1670. doi: 10.3389/fmicb.2019.01670. eCollection 2019.","Loos MS","Front Microbiol","2019","2019/08/13","PMC6677119","","10.3389/fmicb.2019.01670"
"30342747","In-Cell NMR within Budding Yeast Reveals Cytoplasmic Masking of Hydrophobic Residues of FG Repeats","Wall KP, Hough LE.","Biophys J. 2018 Nov 6;115(9):1690-1695. doi: 10.1016/j.bpj.2018.08.049. Epub 2018 Sep 26.","Wall KP","Biophys J","2018","2018/10/22","PMC6225093","","10.1016/j.bpj.2018.08.049"
"35203269","CRACking the Molecular Regulatory Mechanism of SOCE during Platelet Activation in Thrombo-Occlusive Diseases","Münzer P, Borst O.","Cells. 2022 Feb 10;11(4):619. doi: 10.3390/cells11040619.","Münzer P","Cells","2022","2022/02/25","PMC8870035","","10.3390/cells11040619"
"34755100","Constraint-based modeling of yeast mitochondria reveals the dynamics of protein import and iron-sulfur cluster biogenesis","Malina C, Di Bartolomeo F, Kerkhoven EJ, Nielsen J.","iScience. 2021 Oct 15;24(11):103294. doi: 10.1016/j.isci.2021.103294. eCollection 2021 Nov 19.","Malina C","iScience","2021","2021/11/10","PMC8564123","","10.1016/j.isci.2021.103294"
"34661528","PP2A/B55α substrate recruitment as defined by the retinoblastoma-related protein p107","Fowle H, Zhao Z, Xu Q, Wasserman JS, Wang X, Adeyemi M, Feiser F, Kurimchak AN, Atar D, McEwan BC, Kettenbach AN, Page R, Peti W, Dunbrack RL, Graña X.","Elife. 2021 Oct 18;10:e63181. doi: 10.7554/eLife.63181.","Fowle H","Elife","2021","2021/10/18","PMC8575462","","10.7554/eLife.63181"
"32449593","Impact of C-terminal amino acid composition on protein expression in bacteria","Weber M, Burgos R, Yus E, Yang JS, Lluch-Senar M, Serrano L.","Mol Syst Biol. 2020 May;16(5):e9208. doi: 10.15252/msb.20199208.","Weber M","Mol Syst Biol","2020","2020/05/26","PMC7246954","","10.15252/msb.20199208"
"38452769","An integrative platform for detection of RNA 2'-O-methylation reveals its broad distribution on mRNA","Tang Y, Wu Y, Wang S, Lu X, Gu X, Li Y, Yang F, Xu R, Wang T, Jiao Z, Wu Y, Liu L, Chen JQ, Wang Q, Chen Q.","Cell Rep Methods. 2024 Mar 25;4(3):100721. doi: 10.1016/j.crmeth.2024.100721. Epub 2024 Mar 6.","Tang Y","Cell Rep Methods","2024","2024/03/07","PMC10985248","","10.1016/j.crmeth.2024.100721"
"28945738","Formation of a TBX20-CASZ1 protein complex is protective against dilated cardiomyopathy and critical for cardiac homeostasis","Kennedy L, Kaltenbrun E, Greco TM, Temple B, Herring LE, Cristea IM, Conlon FL.","PLoS Genet. 2017 Sep 25;13(9):e1007011. doi: 10.1371/journal.pgen.1007011. eCollection 2017 Sep.","Kennedy L","PLoS Genet","2017","2017/09/26","PMC5629033","","10.1371/journal.pgen.1007011"
"29106597","Thermophilic Adaptation in Prokaryotes Is Constrained by Metabolic Costs of Proteostasis","Venev SV, Zeldovich KB.","Mol Biol Evol. 2018 Jan 1;35(1):211-224. doi: 10.1093/molbev/msx282.","Venev SV","Mol Biol Evol","2018","2017/11/07","PMC5850847","","10.1093/molbev/msx282"
"33432359","The Relationship between the Misfolding Avoidance Hypothesis and Protein Evolutionary Rates in the Light of Empirical Evidence","Usmanova DR, Plata G, Vitkup D.","Genome Biol Evol. 2021 Feb 3;13(2):evab006. doi: 10.1093/gbe/evab006.","Usmanova DR","Genome Biol Evol","2021","2021/01/12","PMC7874998","","10.1093/gbe/evab006"
"39877981","Characterization of multiple binding sites on microtubule associated protein 2c recognized by dimeric and monomeric 14-3-3ζ","Jansen S, Narasimhan S, Cabre Fernandez P, Iľkovičová L, Kozeleková A, Králová K, Hritz J, Žídek L.","FEBS J. 2025 Apr;292(8):1991-2016. doi: 10.1111/febs.17405. Epub 2025 Jan 29.","Jansen S","FEBS J","2025","2025/01/29","PMC12001206","","10.1111/febs.17405"
"40307207","O-GlcNAcylation reduces proteome solubility and regulates the formation of biomolecular condensates in human cells","Xu S, Yin K, Xu X, Fu L, Wu R.","Nat Commun. 2025 Apr 30;16(1):4068. doi: 10.1038/s41467-025-59371-4.","Xu S","Nat Commun","2025","2025/04/30","PMC12043995","","10.1038/s41467-025-59371-4"
"26804901","Operon Gene Order Is Optimized for Ordered Protein Complex Assembly","Wells JN, Bergendahl LT, Marsh JA.","Cell Rep. 2016 Feb 2;14(4):679-685. doi: 10.1016/j.celrep.2015.12.085. Epub 2016 Jan 21.","Wells JN","Cell Rep","2016","2016/01/26","PMC4742563","","10.1016/j.celrep.2015.12.085"
"36993308","Protein phase change batteries drive innate immune signaling and cell fate","Gama AR, Miller T, Venkatesan S, Lange JJ, Wu J, Song X, Bradford D, Cook M, Unruh JR, Halfmann R.","bioRxiv [Preprint]. 2025 Jun 6:2023.03.20.533581. doi: 10.1101/2023.03.20.533581.","Gama AR","bioRxiv","2025","2023/03/30","PMC10055258","","10.1101/2023.03.20.533581"
